trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,91.94200000000002,0.20984756372186142,91.60000000000002,92.60000000000002,91.80000000000001,91.90000000000002,92.12500000000003,1.0,80.58
2000,0.9,90.90300000000003,0.6878161091454577,90.10000000000002,92.60000000000002,90.50000000000003,90.60000000000002,91.00000000000003,1.0,90.97
3000,0.9,92.51899999999999,1.698864032228587,86.70000000000003,93.4,91.50000000000001,93.4,93.4,1.0,74.81
4000,0.9,91.94000000000001,0.48083261120685183,91.20000000000002,93.00000000000001,91.60000000000002,91.80000000000001,92.20000000000002,1.0,80.6
5000,0.9,92.64899999999997,1.2201225348299995,89.50000000000003,93.4,91.17500000000001,93.30000000000001,93.4,1.0,73.51
6000,0.9,93.02400000000003,0.21077001684300256,92.10000000000002,93.30000000000001,92.90000000000002,93.10000000000001,93.20000000000002,1.0,69.76
7000,0.9,23.8530000000005,88.83433846773377,-99.8999999999986,90.10000000000002,-99.8999999999986,87.10000000000004,88.52500000000003,0.66,421.47
8000,0.9,92.73300000000003,0.27966229635043566,92.10000000000002,93.20000000000002,92.50000000000001,92.70000000000002,93.00000000000001,1.0,72.67
9000,0.9,91.334,1.492998325518144,88.10000000000004,93.00000000000001,90.00000000000003,92.20000000000002,92.30000000000001,1.0,86.66
10000,0.9,91.02000000000002,1.6578299068360358,85.00000000000004,92.60000000000002,89.67500000000003,91.80000000000001,92.20000000000002,1.0,89.8
