trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,87.45800000000004,18.85850036455696,-99.8999999999986,91.50000000000001,88.60000000000002,88.90000000000003,89.32500000000003,0.99,163.8
4000,0.9,75.41,32.93933666605933,0.0,92.30000000000001,88.40000000000003,88.60000000000002,90.77500000000002,0.84,280.4
5000,0.9,93.80100000000002,0.24269116176737962,93.10000000000001,94.30000000000001,93.60000000000001,93.80000000000001,94.00000000000001,1.0,96.85
6000,0.9,91.93800000000002,0.5930902123623344,91.30000000000003,93.10000000000001,91.50000000000001,91.60000000000002,92.50000000000001,1.0,147.88
7000,0.9,91.535,19.24112977452194,-99.8999999999986,93.80000000000001,93.4,93.4,93.60000000000001,0.99,102.51
8000,0.9,93.99300000000001,0.17335224255832513,93.80000000000001,94.4,93.80000000000001,93.9,94.10000000000001,1.0,81.4
9000,0.9,92.381,19.33391163215542,-99.8999999999986,95.0,93.70000000000002,94.50000000000001,94.80000000000001,0.99,91.2
10000,0.9,93.181,1.1080338442484479,91.00000000000001,94.4,91.9,93.80000000000001,93.9,1.0,131.0
