trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.818714376443117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.6702932301946417,90.45700000000002,0.6298023499479798,89.00000000000003,91.20000000000002,90.27500000000002,90.60000000000002,90.90000000000002,1.0,125.87
3000,0.5487787039928497,94.09199999999997,0.9930438056802888,92.00000000000001,95.0,93.60000000000001,94.7,94.8,1.0,87.73
4000,0.4492930144447668,92.963,0.8108828522049241,91.10000000000002,94.5,92.40000000000002,93.05000000000001,93.7,1.0,101.44
5000,0.3678426501613962,93.48100000000001,0.3686990642787136,92.30000000000001,94.10000000000001,93.30000000000001,93.55000000000001,93.7,1.0,97.47
6000,0.301158065956071,92.594,0.7274365951751368,89.80000000000003,93.9,92.20000000000002,92.60000000000001,92.9,1.0,156.52
7000,0.24656243818003906,92.64300000000001,0.5200490361494755,92.00000000000001,94.4,92.4,92.50000000000001,92.60000000000001,1.0,158.99
8000,0.20186421282886519,94.34300000000002,0.719062584202512,92.20000000000002,95.2,94.0,94.50000000000001,94.9,1.0,88.71
9000,0.165269133132365,85.095,26.898830364906207,-1.9000000000000006,94.60000000000001,93.2,93.45,93.80000000000001,0.91,186.43
10000,0.13530821527775866,93.852,0.5584764990579264,92.50000000000001,94.8,93.5,93.80000000000001,94.30000000000001,1.0,146.76
