trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,84.13600000000002,23.411456682573174,-11.599999999999975,93.60000000000001,88.20000000000003,89.50000000000003,91.42500000000001,0.94,579.92
2000,0.9,90.36,15.122810585337696,-59.90000000000058,93.50000000000001,91.70000000000002,91.80000000000001,92.10000000000002,0.99,149.84
3000,0.9,-34.14800000000021,0.671785680109373,-35.90000000000024,-32.700000000000195,-34.52500000000022,-34.100000000000215,-33.67500000000021,0.0,999.0
4000,0.9,66.58699999999999,40.156004918318295,-28.000000000000128,89.70000000000003,75.62499999999993,83.70000000000005,88.80000000000003,0.84,497.62
5000,0.9,90.037,15.103765457659946,-59.90000000000058,93.10000000000001,90.97500000000002,92.10000000000002,92.30000000000001,0.99,190.08
6000,0.9,91.14200000000001,0.3086033052318123,90.40000000000002,91.9,90.90000000000002,91.10000000000002,91.40000000000002,1.0,194.42
7000,0.9,92.93800000000003,1.258791483924162,86.30000000000004,94.30000000000001,92.10000000000002,92.75000000000003,94.10000000000001,1.0,201.94
8000,0.9,92.66100000000002,0.8393920418969886,90.80000000000001,94.10000000000001,92.00000000000001,92.4,93.4,1.0,136.31
9000,0.9,76.22500000000002,33.28769855366995,0.0,92.50000000000001,88.55000000000003,91.10000000000002,91.50000000000001,0.84,319.99
10000,0.9,90.85600000000002,1.2537400049451994,87.50000000000003,92.9,90.00000000000003,90.70000000000002,92.00000000000001,1.0,249.06
