trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,1.858,13.00600768875676,0.0,93.00000000000001,0.0,0.0,0.0,0.02,985.75
3000,0.9,81.92299999999999,32.67940897568375,-12.99999999999997,95.0,91.22500000000002,94.10000000000001,94.30000000000001,0.89,304.88
4000,0.9,81.48200000000001,32.49902884702864,-12.99999999999997,93.70000000000002,92.80000000000001,93.00000000000001,93.20000000000002,0.89,276.53
5000,0.9,81.92000000000002,32.6582363271503,-12.99999999999997,94.2,93.30000000000001,93.65,93.80000000000001,0.89,212.02
6000,0.9,81.86000000000001,32.643418938585455,-12.99999999999997,94.80000000000001,92.47500000000002,93.30000000000001,94.2,0.89,210.12
7000,0.9,50.13800000000002,52.67787919041541,-27.000000000000114,93.9,-14.849999999999962,88.60000000000002,93.10000000000001,0.62,495.19
8000,0.9,94.31300000000003,0.8211765948929598,90.30000000000001,94.8,94.4,94.5,94.60000000000001,1.0,83.63
9000,0.9,82.38900000000001,32.81871690057367,-12.99999999999997,95.1,93.72500000000001,94.0,94.2,0.89,201.13
10000,0.9,90.14600000000002,27.178879373513354,-99.8999999999986,95.10000000000001,93.67500000000001,94.45000000000002,94.80000000000001,0.98,127.08
