trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.9,93.21799999999999,10.116920282378425,-7.39999999999999,94.9,94.0,94.2,94.4,0.99,142.65
12000,0.9,87.64700000000002,14.12142666305361,-52.10000000000047,92.4,88.80000000000003,89.20000000000002,89.70000000000002,0.99,210.09
13000,0.9,94.05,0.3167017524422609,93.30000000000001,94.9,93.80000000000001,94.0,94.30000000000001,1.0,102.93
14000,0.9,93.73599999999999,0.6713449188010573,91.70000000000002,95.0,93.5,93.85000000000001,94.10000000000001,1.0,110.0
15000,0.9,91.58700000000003,9.979936422643183,-7.39999999999999,94.8,92.10000000000001,92.35000000000001,92.70000000000002,0.99,174.28
16000,0.9,93.17700000000002,0.4632180911838367,92.10000000000001,94.10000000000001,92.80000000000001,93.2,93.525,1.0,165.85
17000,0.9,93.844,0.5109442239618718,92.4,94.5,93.475,94.0,94.30000000000001,1.0,113.07
18000,0.9,52.33500000000029,77.69439538988586,-99.8999999999986,94.10000000000001,82.85000000000004,92.95000000000002,93.60000000000001,0.79,377.79
19000,0.9,91.35900000000001,19.228110125542617,-99.8999999999986,94.10000000000001,93.00000000000001,93.4,93.625,0.99,162.99
20000,0.9,89.87400000000005,19.08247164284529,-99.8999999999986,92.80000000000001,91.37500000000003,92.00000000000001,92.20000000000002,0.99,285.07
