trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.11077878109876127,94.55099999999999,0.5787045878511747,93.4,95.3,94.4,94.8,95.0,1.0,80.94
12000,0.1,93.05500000000002,0.16209565077447186,92.70000000000002,93.5,92.9,93.00000000000001,93.125,1.0,155.89
13000,0.1,92.225,0.6591471762815926,90.80000000000001,93.7,91.80000000000001,92.00000000000001,92.72500000000002,1.0,127.64
14000,0.1,93.57799999999999,10.160980070839623,-7.39999999999999,95.4,94.30000000000001,94.5,95.0,0.99,90.65
15000,0.1,93.46300000000001,0.5597597699013374,92.20000000000002,94.9,93.10000000000001,93.60000000000001,93.80000000000001,1.0,157.48
16000,0.1,91.65000000000002,1.0425449630591441,86.60000000000004,94.9,91.10000000000002,91.9,92.4,1.0,142.58
17000,0.1,93.33800000000002,0.7990969903584896,92.10000000000001,94.8,92.70000000000002,92.9,94.10000000000001,1.0,151.84
18000,0.1,89.946,1.300647531039823,86.40000000000003,92.10000000000001,89.10000000000002,90.55000000000001,90.82500000000002,1.0,225.64
19000,0.1,94.79399999999998,0.2505274436064801,94.30000000000001,95.2,94.60000000000001,94.8,95.0,1.0,90.66
20000,0.1,94.10000000000002,0.5853204250664737,92.80000000000001,94.8,93.875,94.2,94.60000000000001,1.0,98.66
