trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.9,89.18700000000004,0.9159317660175316,83.20000000000005,90.70000000000002,88.70000000000003,89.20000000000003,89.80000000000003,1.0,163.06
12000,0.9,90.47200000000002,0.8682257770879622,87.00000000000003,92.00000000000001,90.10000000000002,90.50000000000003,91.00000000000003,1.0,154.58
13000,0.9,90.40300000000003,2.2330900116206602,87.90000000000003,94.20000000000002,88.77500000000003,89.20000000000003,93.17500000000001,1.0,139.38
14000,0.9,91.81200000000001,1.7791728415193335,88.20000000000003,94.60000000000001,90.30000000000001,90.60000000000002,93.5,1.0,125.24
15000,0.9,90.65400000000001,1.6521150081032439,87.90000000000003,94.2,89.40000000000003,90.50000000000001,90.90000000000002,1.0,143.11
16000,0.9,94.146,0.37852873074576365,92.60000000000001,94.7,93.9,94.10000000000001,94.4,1.0,83.6
17000,0.9,90.90200000000003,0.9203238560419893,89.10000000000002,93.80000000000001,90.30000000000001,90.85000000000002,91.30000000000001,1.0,150.2
18000,0.9,92.58200000000001,1.391716925240182,90.20000000000002,94.60000000000001,90.97500000000002,93.2,93.60000000000001,1.0,116.38
19000,0.9,91.83100000000002,0.3913297841974197,90.90000000000002,93.10000000000001,91.60000000000001,91.80000000000001,92.10000000000001,1.0,161.19
20000,0.9,92.90700000000001,1.146843930096851,90.90000000000002,94.9,91.9,92.60000000000001,94.025,1.0,131.83
