trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.11077878109876127,93.95599999999999,0.41983806401992463,93.10000000000001,95.1,93.7,93.9,94.10000000000001,1.0,87.24
12000,0.1,93.25600000000003,0.7408535617785714,92.10000000000001,94.9,92.80000000000001,93.00000000000001,93.30000000000001,1.0,101.27
13000,0.1,93.759,0.21075815523960192,93.4,94.30000000000001,93.60000000000001,93.7,93.9,1.0,163.13
14000,0.1,-6.163999999999333,93.64244499157357,-98.99999999999865,91.20000000000002,-98.1499999999987,-96.19999999999881,89.82500000000002,0.49,576.49
15000,0.1,94.14399999999998,0.36477938538245247,93.2,94.9,94.0,94.2,94.4,1.0,87.65
16000,0.1,93.12100000000002,0.42291724958908605,91.60000000000002,94.00000000000001,93.00000000000001,93.20000000000002,93.4,1.0,95.56
17000,0.1,94.00899999999997,0.6185620421590692,92.60000000000001,95.1,93.5,93.9,94.60000000000001,1.0,107.29
18000,0.1,94.266,0.6372158190126767,92.40000000000002,95.1,93.7,94.5,94.8,1.0,83.58
19000,0.1,94.084,0.5403184246349546,92.9,94.7,94.10000000000001,94.2,94.5,1.0,84.03
20000,0.1,93.59700000000001,0.5101872205377138,92.70000000000002,94.8,93.2,93.5,93.9,1.0,144.99
