trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.9,88.95300000000003,1.1590043140558155,87.40000000000003,93.00000000000001,88.30000000000003,88.85000000000002,89.20000000000003,1.0,157.75
12000,0.9,89.605,1.569737239158192,83.30000000000004,93.60000000000001,88.90000000000002,89.50000000000003,90.00000000000001,1.0,158.74
13000,0.9,89.73900000000003,1.2824114004483849,88.10000000000002,94.10000000000001,89.00000000000003,89.30000000000003,90.12500000000003,1.0,154.33
14000,0.9,89.81900000000005,0.8150699356496929,87.80000000000003,93.00000000000001,89.40000000000002,89.80000000000003,90.10000000000002,1.0,163.66
15000,0.9,90.45800000000001,0.8413298996232063,89.30000000000003,93.4,90.00000000000001,90.30000000000001,90.60000000000002,1.0,157.22
16000,0.9,91.915,2.073083452251735,88.00000000000003,94.2,89.97500000000002,92.9,93.625,1.0,116.84
17000,0.9,92.488,1.3662561985220734,88.10000000000002,93.9,92.30000000000001,92.90000000000002,93.30000000000001,1.0,107.45
18000,0.9,91.57800000000002,0.6327053026488684,90.40000000000002,93.60000000000001,91.20000000000002,91.50000000000001,91.70000000000002,1.0,156.3
19000,0.9,91.977,0.41469386298810695,91.00000000000001,94.2,91.70000000000002,91.9,92.20000000000002,1.0,164.41
20000,0.9,92.406,0.9234522185798208,91.00000000000001,94.4,91.67500000000001,92.20000000000002,92.9,1.0,140.84
