trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
11000,0.05,93.61499999999998,0.5534211777660818,92.60000000000002,94.50000000000001,93.20000000000002,93.70000000000002,94.10000000000001,1.0,102.53
12000,0.05,93.09000000000002,0.6024118192731588,92.10000000000002,94.50000000000001,92.60000000000002,93.10000000000001,93.4,1.0,116.27
13000,0.05,93.616,0.5844176588707756,92.10000000000001,94.60000000000001,93.10000000000001,93.9,94.00000000000001,1.0,107.62
14000,0.05,91.78500000000003,19.275820994188415,-99.8999999999986,94.60000000000001,93.30000000000001,93.9,94.2,0.99,115.21
15000,0.05,94.10400000000001,0.42753245490839725,93.30000000000001,94.80000000000001,93.9,94.10000000000001,94.50000000000001,1.0,103.89
16000,0.05,90.79900000000004,19.18797276941978,-99.8999999999986,94.10000000000001,91.90000000000002,92.95000000000002,93.525,0.99,113.91
17000,0.05,93.26499999999999,0.4368924352744023,92.30000000000001,94.10000000000001,92.90000000000002,93.30000000000001,93.60000000000001,1.0,106.45
18000,0.05,93.927,0.6004756448016839,92.40000000000002,94.80000000000001,93.60000000000001,94.10000000000001,94.30000000000001,1.0,98.76
19000,0.05,93.119,0.7501593164121831,89.50000000000003,94.10000000000001,92.80000000000001,93.4,93.50000000000001,1.0,97.73
20000,0.05,93.61400000000002,0.5813811142443468,92.10000000000002,94.4,93.4,93.80000000000001,94.10000000000001,1.0,96.87
