trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,89.59700000000002,1.2613845567470654,87.60000000000002,92.00000000000001,88.40000000000002,89.20000000000002,90.92500000000001,1.0,311.79
2000,0.9,-7.822000000000083,29.223660208810287,-31.60000000000018,81.10000000000001,-29.300000000000146,-0.5,0.0,0.09,979.88
3000,0.9,64.07600000000019,65.16283928743394,-99.8999999999986,92.60000000000002,87.60000000000004,90.90000000000002,91.92500000000001,0.86,313.5
4000,0.9,74.35800000000002,34.85125300473428,-0.30000000000000004,91.50000000000001,90.07500000000002,90.60000000000002,90.90000000000002,0.82,384.59
5000,0.9,-37.126000000000246,0.5631376385929189,-38.50000000000028,-35.90000000000024,-37.50000000000026,-37.10000000000026,-36.70000000000025,0.0,999.0
6000,0.9,-27.71800000000012,0.7461072308991623,-30.100000000000158,-26.300000000000104,-28.20000000000013,-27.650000000000123,-27.27500000000012,0.0,999.0
7000,0.9,-30.394000000000162,1.0433427049632498,-32.50000000000019,-27.600000000000122,-31.100000000000172,-30.600000000000165,-29.975000000000158,0.0,999.0
8000,0.9,-47.93900000000041,1.8867906614142709,-53.40000000000049,-41.40000000000032,-48.900000000000425,-48.00000000000041,-47.0000000000004,0.0,999.0
9000,0.9,-30.783000000000193,16.800071755799173,-34.50000000000022,87.40000000000003,-33.70000000000021,-33.0000000000002,-32.700000000000195,0.02,985.44
10000,0.9,92.27100000000004,0.6459558808463606,90.90000000000002,93.10000000000001,91.50000000000001,92.60000000000001,92.70000000000002,1.0,139.17
