trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,-1.5647500000000043,3.2363445718124724,-9.125000000000023,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.9,-15.478250000000124,0.40699593056933303,-16.875000000000075,-14.750000000000115,-15.72500000000013,-15.462500000000126,-15.175000000000125,0.0,999.0
6000,0.9,85.65375,4.755934943573142,66.77499999999998,92.95,83.4625,86.2875,89.48125,1.0,385.55
7000,0.9,-28.69099999999992,0.5772945522001758,-30.27499999999992,-26.974999999999916,-28.98124999999994,-28.699999999999932,-28.39374999999993,0.0,999.0
8000,0.9,37.457750000000026,55.96278950059134,-37.72499999999996,91.92500000000001,-34.57499999999992,71.80000000000001,84.20625000000001,0.63,695.49
9000,0.9,88.86775000000003,1.8551997702403997,78.87499999999993,91.525,87.99375,89.53750000000001,90.11875,1.0,286.3
10000,0.9,44.88300000000011,54.793769819204684,-25.324999999999726,89.725,-24.98124999999974,86.0,89.13125,0.62,599.12
