trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,-39.00100000000028,1.167946488500239,-41.800000000000324,-36.10000000000024,-39.60000000000029,-39.100000000000286,-38.300000000000274,0.0,999.0
2000,0.9,-69.71800000000032,0.6864954479091223,-71.40000000000022,-68.40000000000039,-70.02500000000029,-69.60000000000032,-69.30000000000034,0.0,999.0
3000,0.9,90.81500000000001,1.3703557932157573,87.00000000000003,92.50000000000001,89.50000000000003,91.40000000000002,92.00000000000001,1.0,156.22
4000,0.9,93.22300000000001,0.4542807501974937,92.30000000000001,94.2,92.9,93.10000000000001,93.60000000000001,1.0,106.67
5000,0.9,92.98100000000001,0.33096676570314254,92.30000000000001,93.60000000000001,92.80000000000001,93.00000000000001,93.20000000000002,1.0,148.41
6000,0.9,91.447,0.39381594685842614,90.60000000000002,92.30000000000001,91.20000000000002,91.40000000000002,91.70000000000002,1.0,168.66
7000,0.9,23.128000000000466,92.01904594158695,-99.8999999999986,94.5,-96.3999999999988,93.4,93.7,0.63,465.63
8000,0.9,92.45400000000001,0.7226921889712086,91.60000000000001,94.10000000000001,91.9,92.15,93.22500000000001,1.0,168.82
9000,0.9,-89.53099999999917,8.307559148149263,-92.29999999999903,-7.39999999999999,-91.0999999999991,-90.49999999999913,-89.69999999999918,0.0,999.0
10000,0.9,-49.53699999999908,81.95275060057419,-99.8999999999986,93.30000000000001,-98.0249999999987,-95.99999999999882,-44.04999999999941,0.25,820.33
