trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,-19.328000000000067,10.252132266021583,-26.0000000000001,0.0,-25.500000000000092,-25.25000000000009,-14.574999999999964,0.0,999.0
2000,0.9,48.91899999999993,49.25722220141943,-38.300000000000274,87.20000000000003,-29.50000000000015,74.84999999999992,83.45000000000005,0.73,617.87
3000,0.9,89.71800000000002,0.5398851729766225,88.10000000000004,91.20000000000002,89.47500000000002,89.70000000000003,90.00000000000003,1.0,169.23
4000,0.9,88.04200000000006,18.914915701635962,-99.8999999999986,92.4,89.27500000000002,89.70000000000002,90.00000000000001,0.99,227.21
5000,0.9,87.32800000000003,4.392017304155363,72.29999999999987,91.80000000000001,86.10000000000004,86.50000000000003,91.10000000000002,1.0,254.19
6000,0.9,91.815,1.1128679166909206,90.60000000000002,93.9,91.00000000000001,91.35000000000002,92.92500000000001,1.0,157.51
7000,0.9,90.67900000000002,0.9299779567280035,88.20000000000003,92.30000000000001,90.10000000000002,90.70000000000002,91.50000000000001,1.0,138.89
8000,0.9,92.859,0.36168909300668484,92.00000000000001,93.4,92.70000000000002,92.9,93.125,1.0,97.63
9000,0.9,93.905,0.5225657853323336,91.70000000000002,94.5,93.80000000000001,94.10000000000001,94.2,1.0,171.7
10000,0.9,92.41400000000002,0.5089243558722635,90.90000000000002,93.60000000000001,92.20000000000002,92.4,92.80000000000001,1.0,193.2
