trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.606454822840097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.3677874521460121,93.73000000000002,1.281834622718541,90.20000000000002,94.7,93.70000000000002,94.30000000000001,94.5,1.0,86.23
3000,0.22304647413401948,87.90500000000003,19.02048566677504,-99.8999999999986,94.2,89.07500000000002,90.20000000000002,90.40000000000002,0.99,172.73
4000,0.13526760995605422,88.51400000000005,18.970187242091068,-99.8999999999986,93.2,89.70000000000002,90.30000000000001,90.80000000000001,0.99,192.04
5000,0.0820336944319021,90.23100000000004,19.12155691882841,-99.8999999999986,93.80000000000001,91.60000000000001,92.00000000000001,92.50000000000001,0.99,162.03
6000,0.05,91.55000000000001,19.248244075759082,-99.8999999999986,94.60000000000001,93.4,93.60000000000001,93.80000000000001,0.99,167.96
7000,0.05,90.66300000000005,19.159351006753717,-99.8999999999986,93.7,92.50000000000001,92.60000000000001,92.72500000000002,0.99,151.07
8000,0.05,91.23300000000005,19.21719571113316,-99.8999999999986,94.30000000000001,92.775,93.2,93.4,0.99,157.77
9000,0.05,90.16500000000003,19.123516282315727,-99.8999999999986,94.0,91.50000000000001,91.9,92.80000000000001,0.99,197.58
10000,0.05,91.28300000000003,19.22054138155309,-99.8999999999986,93.9,93.10000000000001,93.30000000000001,93.50000000000001,0.99,161.28
