trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.818714376443117,51.08000000000001,46.2045647095609,0.0,93.80000000000001,0.0,92.4,92.9,0.55,600.39
2000,0.6702932301946417,92.38000000000004,0.534228415567723,91.50000000000001,93.50000000000001,91.9,92.30000000000001,92.75000000000001,1.0,112.35
3000,0.5487787039928497,91.71400000000003,19.26415853340069,-99.8999999999986,94.30000000000001,93.4,93.80000000000001,94.00000000000001,0.99,104.73
4000,0.4492930144447668,93.74400000000001,0.5208301066566693,91.20000000000002,94.4,93.7,93.9,94.0,1.0,152.66
5000,0.3678426501613962,93.85600000000001,0.3044076214551802,93.30000000000001,94.4,93.70000000000002,93.9,94.10000000000001,1.0,99.79
6000,0.301158065956071,93.546,10.169350225063544,-7.39999999999999,95.4,94.30000000000001,94.60000000000001,95.1,0.99,106.26
7000,0.24656243818003906,92.13300000000002,0.7219494442133713,91.00000000000001,93.80000000000001,91.70000000000002,91.80000000000001,92.10000000000001,1.0,163.52
8000,0.20186421282886519,89.76000000000002,3.3800295856693348,78.29999999999997,94.30000000000001,89.50000000000003,89.90000000000002,92.40000000000002,1.0,195.66
9000,0.165269133132365,93.771,0.7521030514497302,92.00000000000001,94.5,92.97500000000001,94.10000000000001,94.30000000000001,1.0,88.92
10000,0.13530821527775866,93.18599999999998,0.9050988896247698,91.00000000000003,95.0,92.80000000000001,93.00000000000001,93.10000000000001,1.0,150.52
