trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.606454822840097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.3677874521460121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.22304647413401948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.13526760995605422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.0820336944319021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
8000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
9000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
10000,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
