trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.818714376443117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.6702932301946417,91.88100000000003,0.49773386463048686,91.20000000000002,93.10000000000001,91.30000000000001,91.9,92.30000000000001,1.0,112.53
3000,0.5487787039928497,91.666,0.3302181097396055,90.90000000000002,92.4,91.40000000000002,91.60000000000001,91.9,1.0,145.07
4000,0.4492930144447668,92.012,0.6337633627782503,90.60000000000002,93.10000000000001,91.47500000000002,92.10000000000001,92.50000000000001,1.0,159.07
5000,0.3678426501613962,93.26500000000001,0.7729650703621705,91.70000000000002,94.60000000000001,92.70000000000002,93.00000000000001,94.025,1.0,91.71
6000,0.301158065956071,94.34900000000002,0.4016204676059219,93.10000000000001,94.9,94.2,94.30000000000001,94.7,1.0,77.89
7000,0.24656243818003906,93.66799999999999,0.676739240771508,91.50000000000001,95.1,93.4,93.60000000000001,93.80000000000001,1.0,141.76
8000,0.20186421282886519,92.51800000000001,1.190326005764802,89.70000000000003,94.4,91.9,92.50000000000001,93.7,1.0,117.6
9000,0.165269133132365,93.19500000000002,0.40752300548557796,92.50000000000001,94.2,92.9,93.05000000000001,93.30000000000001,1.0,86.37
10000,0.13530821527775866,93.348,1.1430205597450964,91.9,95.4,92.30000000000001,92.9,94.4,1.0,124.74
