trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
8000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
9000,0.9,1.9,13.299999999999999,0.0,95.0,0.0,0.0,0.0,0.02,985.6
10000,0.9,1.8880000000000001,13.216000000000003,0.0,94.4,0.0,0.0,0.0,0.02,985.74
