trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.818714376443117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.6702932301946417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.5487787039928497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.4492930144447668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.3678426501613962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.301158065956071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.24656243818003906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
8000,0.20186421282886519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
9000,0.165269133132365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
10000,0.13530821527775866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
