trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.606454822840097,91.12800000000003,0.9682024581666742,87.60000000000004,91.80000000000001,90.70000000000002,91.50000000000001,91.60000000000002,1.0,124.98
2000,0.3677874521460121,92.916,0.6595028430567959,91.70000000000002,94.10000000000001,92.70000000000002,92.80000000000001,93.32500000000002,1.0,114.66
3000,0.22304647413401948,90.68300000000004,19.166408401158385,-99.8999999999986,93.9,92.30000000000001,92.70000000000002,92.92500000000001,0.99,116.38
4000,0.13526760995605422,92.38600000000001,19.34422404750303,-99.8999999999986,95.3,93.7,94.9,95.1,0.99,105.74
5000,0.0820336944319021,90.20200000000004,19.1275088811898,-99.8999999999986,94.0,91.60000000000002,91.95000000000002,92.70000000000002,0.99,167.18
6000,0.05,93.02300000000005,19.40265886418649,-99.8999999999986,95.9,94.4,95.4,95.6,0.99,107.96
7000,0.05,90.78700000000002,19.17779265191891,-99.8999999999986,93.9,92.20000000000002,92.65000000000002,93.30000000000001,0.99,112.15
8000,0.05,94.443,0.6063423125594959,93.5,95.3,93.80000000000001,94.60000000000001,95.0,1.0,101.31
9000,0.05,94.34299999999999,0.6315465145181283,92.80000000000001,95.2,93.9,94.7,94.8,1.0,88.31
10000,0.05,92.73000000000002,0.6124540799112992,91.00000000000003,93.60000000000001,92.20000000000002,93.00000000000001,93.20000000000002,1.0,165.99
