trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,1.0,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.818714376443117,87.80100000000002,1.2889138838572523,85.50000000000004,91.00000000000003,87.17500000000004,87.75000000000003,88.02500000000003,1.0,189.58
2000,0.6702932301946417,87.64100000000003,26.810662412555004,-99.8999999999986,93.60000000000001,90.70000000000002,91.00000000000003,92.00000000000001,0.98,137.64
3000,0.5487787039928497,92.07200000000005,1.2434693401929915,91.10000000000002,94.30000000000001,91.20000000000002,91.40000000000002,93.62500000000001,1.0,115.96
4000,0.4492930144447668,93.204,0.4558333028641035,92.00000000000001,94.7,92.97500000000002,93.30000000000001,93.5,1.0,137.7
5000,0.3678426501613962,93.74799999999999,0.26171740484728806,93.30000000000001,94.2,93.50000000000001,93.80000000000001,93.9,1.0,141.21
6000,0.301158065956071,91.23200000000001,0.8264236201851889,88.00000000000003,92.40000000000002,90.90000000000002,91.20000000000002,91.82500000000002,1.0,154.46
7000,0.24656243818003906,92.61900000000001,0.6150926759440362,90.70000000000002,93.80000000000001,92.47500000000002,92.70000000000002,93.00000000000001,1.0,158.61
8000,0.20186421282886519,93.41700000000003,0.3249784608247128,92.4,94.4,93.2,93.4,93.7,1.0,162.57
9000,0.165269133132365,92.56500000000001,0.42293616539614953,91.10000000000002,93.30000000000001,92.30000000000001,92.60000000000002,92.90000000000002,1.0,102.45
10000,0.13530821527775866,93.274,0.8767690687974764,91.60000000000001,94.8,92.57500000000002,93.10000000000001,94.2,1.0,124.55
