trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,90.06400000000004,0.40262141026030746,88.80000000000003,91.00000000000003,89.80000000000003,90.15000000000002,90.30000000000003,1.0,153.16
2000,0.9,88.33400000000003,0.8175842464235675,87.10000000000004,90.00000000000001,87.60000000000004,88.10000000000002,89.20000000000002,1.0,229.22
3000,0.9,88.59300000000003,2.632802879062537,80.6,91.80000000000001,87.07500000000003,88.30000000000003,91.20000000000002,1.0,205.5
4000,0.9,92.00399999999999,0.4233013111248276,90.80000000000003,92.80000000000001,91.87500000000001,92.10000000000002,92.30000000000001,1.0,106.17
5000,0.9,92.21400000000001,1.1206266104282876,90.20000000000002,94.50000000000001,91.50000000000001,91.9,92.72500000000002,1.0,128.66
6000,0.9,92.41199999999999,0.43180551177584475,91.40000000000002,93.60000000000001,92.20000000000002,92.4,92.60000000000001,1.0,164.98
7000,0.9,94.00100000000002,0.24103734150541875,93.60000000000001,94.7,93.80000000000001,94.0,94.10000000000001,1.0,105.04
8000,0.9,93.19,0.7809609465267742,91.60000000000001,94.30000000000001,92.60000000000001,93.10000000000001,94.0,1.0,156.82
9000,0.9,93.82200000000005,0.2476206776503122,93.50000000000001,94.60000000000001,93.60000000000001,93.80000000000001,94.00000000000001,1.0,90.16
10000,0.9,92.21600000000001,0.5351112033960779,91.10000000000002,94.10000000000001,91.80000000000001,92.30000000000001,92.40000000000002,1.0,172.54
