trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
4000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
5000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
6000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
7000,0.9,92.06100000000002,1.261181588828504,89.60000000000002,93.60000000000001,91.42500000000001,92.60000000000002,92.92500000000001,1.0,168.22
8000,0.9,89.12000000000002,1.0836973747315222,87.00000000000003,92.90000000000002,88.60000000000002,88.90000000000003,89.30000000000003,1.0,164.66
9000,0.9,90.13400000000001,0.6886537591562218,88.50000000000003,91.40000000000002,89.67500000000003,90.10000000000002,90.70000000000002,1.0,141.59
10000,0.9,88.571,1.9151133125744784,81.50000000000001,92.90000000000002,88.30000000000003,88.70000000000003,89.00000000000003,1.0,165.39
