trained_episodes,epsilon,mean,std,min,max,p25,p50,p75,success_rate,mean_steps
0,0.9,-99.89999999999856,4.263256414560601e-14,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,-99.8999999999986,0.0,999.0
1000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
2000,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,999.0
3000,0.9,-18.37900000000018,28.6979033903177,-47.2000000000004,87.20000000000003,-44.62500000000036,0.0,0.0,0.04,984.44
4000,0.9,93.575,0.3099596747965755,93.00000000000001,94.4,93.30000000000001,93.50000000000001,93.82500000000002,1.0,85.52
5000,0.9,77.816,35.21777880559761,0.0,94.30000000000001,93.4,93.70000000000002,93.9,0.83,251.05
6000,0.9,93.95400000000001,0.524484508827476,92.10000000000001,94.8,93.80000000000001,94.0,94.2,1.0,83.44
7000,0.9,35.96300000000004,50.86614720027457,-16.19999999999996,90.90000000000002,-12.99999999999997,-8.799999999999985,88.82500000000003,0.48,605.58
8000,0.9,81.661,32.597294044138074,-12.99999999999997,94.8,91.10000000000002,93.7,94.125,0.89,215.13
9000,0.9,80.90700000000001,32.305566873218616,-12.99999999999997,94.8,91.70000000000002,92.15,92.50000000000001,0.89,211.53
10000,0.9,94.23700000000002,0.52946293543552,92.10000000000002,95.2,94.10000000000001,94.20000000000002,94.60000000000001,1.0,84.47
